mes,rake,jogadores,rake_cash_game,rake_torneio,jogadores_cash_game,jogadores_torneio
2020-06-01,10151.03,720,4917.28,5233.75,347,475
2020-07-01,10433.23,648,5277.03,5156.20,317,425
2020-08-01,10604.64,498,6881.30,3723.34,249,340
2020-09-01,7840.27,385,4185.37,3654.90,187,263
2020-10-01,8782.42,360,5500.55,3281.87,192,229
2020-11-01,8006.96,362,6054.05,1952.91,205,206
2020-12-01,6541.71,407,3944.02,2597.69,217,241
2021-01-01,6628.98,381,4328.70,2300.28,215,226
2021-02-01,6572.85,340,4983.44,1589.41,197,197
2021-03-01,10769.94,496,7912.65,2857.29,268,329
2021-04-01,9856.79,516,7049.67,2807.12,264,339
2021-05-01,7366.65,424,5044.07,2322.58,251,261
2021-06-01,7443.32,413,5165.95,2277.37,224,254
2021-07-01,7256.10,443,5427.75,1828.35,263,251
2021-08-01,8618.17,516,7151.23,1466.94,308,295
2021-09-01,7711.83,537,6203.46,1508.37,320,315
2021-10-01,10572.56,763,7214.68,3357.88,453,443
2021-11-01,19013.76,814,13209.66,5804.10,478,471
2021-12-01,19928.14,1041,15207.64,4720.50,649,565
2022-01-01,27148.24,1188,20777.34,6370.90,705,660
2022-02-01,30310.95,1051,23996.75,6314.20,662,565
2022-03-01,41401.90,1270,34938.50,6463.40,764,707
2022-04-01,25333.62,1320,19656.72,5676.90,816,764
2022-05-01,29254.30,1449,23117.20,6137.10,850,912
2022-06-01,44573.52,1407,36922.22,7651.30,842,804
2022-07-01,33743.78,1487,25606.48,8137.30,896,879
2022-08-01,38274.82,1436,29935.72,8339.10,835,895
2022-09-01,35686.15,1615,27648.85,8037.30,829,1099
2022-10-01,30927.36,1688,22962.06,7965.30,831,1200
2022-11-01,29911.69,1764,22193.39,7718.30,876,1223
2022-12-01,73967.68,1891,66542.09,7425.59,1023,1242
2023-01-01,46087.71,2039,33693.94,12393.77,1038,1386
2023-02-01,42776.42,2019,32117.42,10659.00,970,1405
2023-03-01,53348.65,2283,41051.30,12297.35,1103,1604
2023-04-01,43649.51,2336,29420.41,14229.10,1124,1660
2023-05-01,14269.20,1145,10253.29,4015.91,562,738
